time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W
0,25.0,27.0,25.0,600.0,1.0,0.0,1.0,0.5,33.0,2.0,5.0,600.0,0.0
1,23.997328245332028,27.075903289707185,5.980209120220593,680.0,1.0,0.0,1.0,0.5,33.0,2.0,5.0,600.0,802.1679308913817
2,23.130609007416354,27.10589658421128,5.0,706.6666666666666,1.0,0.0,0.8105689357105923,0.5,33.0,2.0,5.0,600.0,802.1679308913817
3,22.769642959527857,27.076771038723336,5.0,751.7579367308646,1.0,0.0,0.721359060468048,0.5,33.0,2.0,5.0,600.0,802.1679308913817
4,22.597452296768665,26.99921162971134,5.0,792.2135410355348,1.0,0.0,0.6980937012395987,0.5,33.0,2.0,15.0,600.0,802.1679308913817
5,22.528060456793412,26.953399793840674,5.0,818.9869220268723,1.0,0.0,0.71610148974776,0.5,33.0,2.0,25.0,600.0,1020.0753492678485
6,22.461142471901326,26.929686095187208,5.0,828.5101691913279,1.0,0.0,0.7207479418754044,0.5,33.0,2.0,25.0,600.0,1131.952748226524
7,22.399948372133792,26.906745074504954,5.0,832.2215934047794,1.0,0.0,0.7150798288726954,0.5,33.0,2.0,25.0,600.0,1131.952748226524
8,22.338762965798537,26.863360673466957,5.0,835.7073624250997,1.0,0.0,0.6959557078639831,0.5,33.0,2.0,25.0,600.0,1131.952748226524
9,22.28283461950923,26.785543813286665,5.0,842.8314213045467,1.0,0.0,0.6674187336968954,0.5,33.0,2.0,25.0,600.0,1131.952748226524
10,22.29795853928914,26.72801646560265,5.0,854.6943467883207,1.0,0.0,0.6812877682194569,0.5,33.0,2.0,25.0,600.0,1131.952748226524
11,22.309197083916217,26.700333728605244,5.0,857.2597192009677,1.0,0.0,0.6954923262259167,0.5,33.0,2.0,25.0,600.0,1131.952748226524
12,22.29980727823539,26.681926480624327,5.0,854.5191996863196,1.0,0.0,0.6962855343132487,0.5,33.0,2.0,25.0,600.0,1131.952748226524
13,22.274564522729236,26.649682303617226,5.0,852.8195776043501,1.0,0.0,0.6828062137852948,0.5,33.0,2.0,25.0,600.0,1131.952748226524
14,22.241599326312098,26.586563931763237,5.0,855.7983129135655,1.0,0.0,0.6578272075445308,0.5,33.0,2.0,25.0,600.0,1131.952748226524
15,22.25307601243327,26.52710680842472,5.0,864.6783214225331,1.0,0.0,0.6598161076464938,0.5,33.0,2.0,25.0,600.0,1131.952748226524
16,22.28448747699207,26.500783644598016,5.0,869.0743752920049,1.0,0.0,0.6796796580920894,0.5,33.0,2.0,25.0,600.0,1131.952748226524
17,22.287342747602963,26.48955180340198,5.0,865.5898967210792,1.0,0.0,0.6844654614007329,0.5,33.0,2.0,25.0,600.0,1131.952748226524
18,22.27112141080289,26.469685616029494,5.0,862.2626338846136,1.0,0.0,0.6751904365373294,0.5,33.0,2.0,25.0,600.0,1131.952748226524
19,22.24284830499124,26.42200069075608,5.0,863.1882999934794,1.0,0.0,0.6530668554389952,0.5,33.0,2.0,25.0,600.0,1131.952748226524
20,22.237322358142023,26.360539370043114,5.0,870.2339070307489,1.0,0.0,0.6422385034631704,0.5,33.0,2.0,25.0,600.0,1131.952748226524
21,22.278957818642994,26.334363731765677,5.0,877.4622065908793,1.0,0.0,0.6665087268401625,0.5,33.0,2.0,25.0,600.0,1131.952748226524
22,22.287761284729413,26.32848994411239,5.0,874.1938379959604,1.0,0.0,0.6746581158281642,0.5,33.0,2.0,25.0,600.0,1131.952748226524
23,22.27657793632011,26.319189306672456,5.0,869.910132020549,1.0,0.0,0.6693544201934709,0.5,33.0,2.0,25.0,600.0,1131.952748226524
24,22.250605786779545,26.285598258949676,5.0,869.1439083153606,1.0,0.0,0.6502030110376605,0.5,33.0,2.0,25.0,600.0,1131.952748226524
25,22.226147995308224,26.221042384976386,5.0,874.454093931447,1.0,0.0,0.6265037846962436,0.5,33.0,2.0,25.0,600.0,1131.952748226524
26,22.275712204587933,26.193228900833446,5.0,884.6426207189445,1.0,0.0,0.6544207848094284,0.5,33.0,2.0,21.0,600.0,1131.952748226524
27,22.28936034037929,26.19055534818409,5.0,881.9280950477437,1.0,0.0,0.6655865343781183,0.5,33.0,2.0,17.0,600.0,1095.876897536496
28,22.282790159452702,26.189784952883656,5.0,876.9593484379345,1.0,0.0,0.6641867699480897,0.5,33.0,2.0,13.0,600.0,1048.7760802889525
29,22.259197619269003,26.16880155982193,5.0,874.6217793468843,1.0,0.0,0.6482343490862357,0.5,33.0,2.0,9.0,600.0,987.2810096820739
